"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1","EQD"
"02869099999","1911-01-12T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","09635,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-13T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0144,1","+9999,9","09674,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-13T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0167,1","+9999,9","09691,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-13T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0228,1","+9999,9","09719,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-14T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0322,1","+9999,9","09762,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-14T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0311,1","+9999,9","09855,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-14T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0278,1","+9999,9","09798,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-15T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","110,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0172,1","+9999,9","09768,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-15T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0117,1","+9999,9","09731,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1911-01-15T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0133,1","+9999,9","09760,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-16T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0139,1","+9999,9","09678,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-16T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09598,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1911-01-16T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09587,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-17T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","09675,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-17T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","200,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","09604,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","38,1",
"02869099999","1911-01-17T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","99999,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1","Q01 104793APOSLP"
"02869099999","1911-01-18T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","320,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09526,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-18T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0128,1","+9999,9","09604,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-18T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09688,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-19T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","09730,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-19T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0122,1","+9999,9","09748,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-19T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09668,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1911-01-20T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09640,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
